artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Reel Big Fish,Beer,7qEm8Z4KFLdCMlv96KykVd,54,0.000772,0.591,210533,0.869,4.06e-06,0,0.085,-6.205,1,0.106,104.43,4,0.859
Lil' Kim,Big Momma Thang,0JRB0l3igltUQX1OmKyORy,54,0.0621,0.874,256867,0.716,1.39e-05,9,0.253,-5.859,0,0.252,95.587,4,0.674
Rakim,Guess Who's Back,5czjjnbTatyFal33a9h1aN,61,0.018,0.819,250907,0.799,0.0,6,0.104,-7.769,0,0.264,94.013,4,0.664
Lost Boyz,Renee,71mNLAZsr1frFhpCa3JI8G,52,0.0541,0.78,293867,0.456,0.0,4,0.14,-10.016,0,0.187,91.997,4,0.515
OutKast,Jazzy Belle,6w4MlvpuxtbjGdL9YeTx89,55,0.0178,0.878,251667,0.651,0.0,11,0.0408,-8.074,0,0.252,92.028,4,0.102
George Strait,Carried Away,3wGoIFHqCl36tu9Ne3guos,52,0.696,0.573,202467,0.5,0.00132,8,0.11,-7.248,1,0.0298,136.753,4,0.301
112,Only You (feat. The Notorious B.I.G.) - Radio Mix,7jg3Irt0hqnss3HvaPP2D2,55,0.145,0.778,260427,0.644,0.0,8,0.112,-7.6,1,0.0532,96.025,4,0.846
Los Temerarios,La Mujer Que Soñe,4ylbpmTRMsG2OST1MqAZ9S,55,0.337,0.549,184667,0.46,2.55e-06,1,0.11,-11.343,1,0.0291,144.656,4,0.352
Westside Connection,"The Gangsta, The Killa And The Dope Dealer",3p1oRfbN2RrDdSyG8S7itI,50,0.34,0.805,251067,0.737,0.0,11,0.901,-7.284,1,0.251,92.929,4,0.486
Metallica,King Nothing,140u2dqlZbpi4ZLgeolKqA,51,7.77e-05,0.528,328133,0.909,0.00959,8,0.0891,-5.712,1,0.0381,112.083,4,0.349
Total,Kissin' You,1e5DTpM1WeggytDXbphivX,52,0.302,0.746,282333,0.493,0.00957,11,0.109,-9.427,0,0.0997,82.04,4,0.878
The Wallflowers,Three Marlenas,6iPZEvHsTanHMOtjyJWMEm,56,0.0154,0.619,299440,0.584,2.47e-05,8,0.0873,-10.742,1,0.0255,107.28,4,0.577
Modest Mouse,Dramamine,4p82pfEa4cayPqXLN6Rhzm,52,0.326,0.376,342000,0.736,0.105,4,0.107,-9.438,0,0.0412,185.12,3,0.796
Babyface,"Every Time I Close My Eyes (with Mariah Carey, Kenny G & Sheila E.)",2ezqQeBiC72gwMJoO4w1hA,57,0.0624,0.655,296267,0.417,0.0,5,0.0965,-7.702,1,0.025,143.674,4,0.279
Foxy Brown,Get Me Home,6Xo9osN1HErsEJoqwj4eDg,56,0.121,0.78,229400,0.467,0.000134,9,0.314,-6.645,0,0.253,96.056,4,0.312
Johnny Cash,Rusty Cage,4VNvzf9nHWAZBHAJxfzVcy,51,0.577,0.542,168400,0.718,0.0023,2,0.383,-5.806,1,0.0334,112.053,4,0.484
Toni Braxton,You're Makin' Me High,5bJ796cOnGBzSN5bm4mwMj,56,0.0117,0.852,267440,0.563,1.96e-05,10,0.119,-8.663,0,0.0377,92.112,4,0.893
Shawn Colvin,Sunny Came Home,4mOxpj82q6n3EO7HBZCelX,55,0.344,0.554,264200,0.58,0.00842,11,0.0989,-8.05,0,0.0322,167.83,4,0.402
